category,rank,scene_id,building_id,dataset_version,description_model,free_min_x,free_min_y,free_min_z,free_centroid_x,free_centroid_y,free_centroid_z,free_voxel_count,free_bbox_volume,free_occupancy_density,free_centroid_distance,free_absolute_iou,free_translation_aligned_iou,free_bbox_dimension_mae,free_alignment_shift_x,free_alignment_shift_y,free_alignment_shift_z,free_alignment_shift_magnitude,free_normalized_add_cost,free_normalized_delete_cost,free_normalized_replace_cost,free_total_normalized_repair_cost,free_action_count,structured_min_x,structured_min_y,structured_min_z,structured_centroid_x,structured_centroid_y,structured_centroid_z,structured_voxel_count,structured_bbox_volume,structured_occupancy_density,structured_centroid_distance,structured_absolute_iou,structured_translation_aligned_iou,structured_bbox_dimension_mae,structured_alignment_shift_x,structured_alignment_shift_y,structured_alignment_shift_z,structured_alignment_shift_magnitude,structured_normalized_add_cost,structured_normalized_delete_cost,structured_normalized_replace_cost,structured_total_normalized_repair_cost,structured_action_count,delta_absolute_iou,delta_translation_aligned_iou,delta_bbox_dimension_mae,delta_centroid_distance,delta_alignment_shift_magnitude,delta_voxel_count,delta_bbox_volume,delta_occupancy_density,free_voxel_count_ratio,structured_voxel_count_ratio,delta_voxel_count_ratio,delta_shift_l1,delta_shift_l2,gt_min_x,gt_min_y,gt_min_z,gt_centroid_x,gt_centroid_y,gt_centroid_z,gt_voxel_count,gt_bbox_volume,gt_occupancy_density,free_position_grounding_loss,free_residual_intrinsic_geometry_error,structured_position_grounding_loss,structured_residual_intrinsic_geometry_error,delta_position_grounding_loss,delta_residual_intrinsic_geometry_error
bbox_improved_absolute_worse,1,v1:building_044,building_044,v1,claude,0,0,0,6.5,4.0,6.5,1428,1764,0.8095238095238095,3.459127872702454,0.204824202780049,0.2669819432502149,4.666666666666667,-1,4,3,5.0990195135927845,0.5911784068466096,0.5312705727452272,0.2646477946017117,1.3870967741935485,26,-7,0,-7,0.0,4.515352697095436,0.0,1205,2250,0.5355555555555556,10.933380527846571,0.0424799081515499,0.3785425101214575,3.6666666666666665,6,3,9,11.224972160321824,0.5075707702435813,0.3008558262014483,0.3785385121790652,1.1869651086240949,28,-0.16234429462849911,0.1115605668712426,-1.0000000000000004,7.4742526551441175,6.12595264672904,-223,486,-0.27396825396825397,0.9400921658986175,0.793285055957867,-0.14680710994075052,14,9.273618495495704,-2,3,-2,7.500329163923634,7.1553653719552335,7.504279131007242,1519,4400,0.3452272727272727,0.062157740470165895,0.733018056749785,0.3360626019699076,0.6214574898785425,0.2739048614997417,-0.1115605668712425
bbox_improved_absolute_worse,2,v1:building_096,building_096,v1,claude,-1,0,-1,5.5,2.322834645669291,3.5,508,700,0.7257142857142858,5.452642741715294,0.155863073561544,0.2004538577912254,5.333333333333333,0,2,7,7.280109889280518,0.7544022242817423,0.2252085264133456,0.2381835032437442,1.2177942539388322,11,-9,-4,-7,-0.5,-1.0950226244343892,-0.5678733031674208,884,1512,0.5846560846560847,12.554136609823242,0.0,0.3426812585499316,3.0,6,7,11,14.352700094407323,0.535681186283596,0.3549582947173308,0.4411492122335496,1.3317886932344765,10,-0.155863073561544,0.14222740075870619,-2.333333333333333,7.101493868107949,7.072590205126805,376,812,-0.1410582010582011,0.47080630213160335,0.8192771084337349,0.34847080630213156,15,8.774964387392123,-2,3,-2,6.0,5.9879518072289155,7.506024096385542,1079,2720,0.3966911764705882,0.04459078422968141,0.7995461422087746,0.3426812585499316,0.6573187414500684,0.29809047432025015,-0.1422274007587062
bbox_improved_absolute_worse,3,v1:building_004,building_004,v1,claude,-1,0,-1,3.5,3.0238095238095237,3.5,504,900,0.56,3.049492905811243,0.184757505773672,0.4093406593406593,3.0,0,3,1,3.1622776601683795,0.4291187739463601,0.3946360153256705,0.5632183908045977,1.3869731800766285,11,-6,0,-6,0.0,2.550909090909091,0.0,550,1521,0.3616042077580539,7.108337538340337,0.0438169425511197,0.6466973886328725,1.0,4,3,4,6.4031242374328485,0.1934865900383141,0.2471264367816092,0.7164750957854407,1.157088122605364,21,-0.1409405632225523,0.23735672929221324,-2.0,4.0588446325290946,3.240846577264469,46,621,-0.19839579224194615,0.9655172413793104,1.053639846743295,0.08812260536398464,7,5.0,-2,3,-2,5.0,5.630268199233717,4.005747126436781,522,1560,0.3346153846153846,0.22458315356698727,0.5906593406593408,0.6028804460817528,0.3533026113671275,0.37829729251476557,-0.2373567292922133
bbox_improved_absolute_worse,4,v1:building_074,building_074,v1,gemini,-1,0,-1,6.0,4.127906976744186,4.0,1032,1485,0.694949494949495,3.9966637843944386,0.2392457277548615,0.2925629993853718,3.333333333333333,0,2,5,5.385164807134504,0.5555555555555556,0.5191409897292251,0.4304388422035481,1.5051353874883286,29,-1,0,-1,6.0,4.984962406015038,4.0,399,1650,0.24181818181818182,3.3821703898730378,0.1019490254872563,0.2239800166527893,3.0,0,4,1,4.123105625617661,0.7488328664799253,0.1213818860877684,0.1400560224089636,1.0102707749766573,29,-0.1372967022676052,-0.06858298273258248,-0.33333333333333304,-0.6144933945214008,-1.2620591815168432,-633,165,-0.45313131313131316,0.9635854341736695,0.37254901960784315,-0.5910364145658263,6,4.47213595499958,-2,3,-2,5.50046685340803,7.201680672268908,6.505135387488329,1071,3168,0.3380681818181818,0.05331727163051028,0.7074370006146282,0.122030991165533,0.7760199833472107,0.06871371953502271,0.06858298273258245
bbox_improved_absolute_worse,5,v1:building_082,building_082,v1,gemini,0,0,0,8.5,4.8076923076923075,6.976588628762542,2392,3510,0.6814814814814815,3.5349792444235546,0.2215549936788874,0.4448598130841121,1.6666666666666667,-1,3,0,3.1622776601683795,0.1921249151391717,0.8160217243720299,0.3964697895451459,1.4046164290563476,32,-9,0,-7,-0.5016860247283627,5.44923192206819,0.3960284750843012,2669,3240,0.8237654320987654,9.997570007653739,0.0842931937172774,0.3955525606469002,1.3333333333333333,6,4,6,9.38083151964686,0.2029871011541072,1.0149355057705365,0.6042090970807875,1.822131704005431,30,-0.13726179996160998,-0.0493072524372119,-0.3333333333333335,6.4625907632301836,6.2185538594784795,277,-270,0.14228395061728394,1.623896809232858,1.8119484046164291,0.18805159538357108,14,9.273618495495704,-2,3,-2,7.0,7.973523421588594,6.5037338764426345,1473,4104,0.35891812865497075,0.2233048194052247,0.5551401869158878,0.3112593669296228,0.6044474393530999,0.0879545475243981,0.04930725243721201
bbox_improved_absolute_worse,6,v1:building_049,building_049,v1,claude,-1,0,-1,3.5,5.226130653266332,3.5,796,1400,0.5685714285714286,5.532979321682344,0.1760736196319018,0.2712201591511936,5.666666666666667,0,3,0,3.0,0.6351471900089206,0.3452274754683318,0.2417484388938447,1.2221231043710972,17,-5,-1,-5,-0.31443298969072164,3.463917525773196,-0.31443298969072164,776,1872,0.41452991452991456,10.628206438058704,0.0492256637168141,0.2800269905533063,4.0,4,4,4,6.928203230275509,0.6297948260481713,0.3220338983050847,0.2604817127564674,1.2123104371097235,23,-0.12684795591508768,0.008806831402112747,-1.666666666666667,5.0952271163763605,3.9282032302755088,-20,472,-0.15404151404151406,0.7100802854594113,0.6922390722569135,-0.017841213202497763,9,5.744562646538029,-2,3,-2,8.500446030330062,7.540588760035682,4.002676181980375,1121,3432,0.32663170163170163,0.09514653951929178,0.7287798408488064,0.23080132683649224,0.7199730094466936,0.13565478731720046,-0.008806831402112802
bbox_improved_absolute_worse,7,v1:building_093,building_093,v1,claude,-1,0,-1,6.482142857142857,2.0714285714285716,3.4107142857142856,448,960,0.4666666666666667,4.502376770689048,0.1663701067615658,0.36420395421436,3.6666666666666665,0,4,6,7.211102550927978,0.5944380069524913,0.1135573580533024,0.3650057937427578,1.0730011587485515,16,-8,0,-5,0.0,2.154345006485084,0.0,771,1122,0.6871657754010695,9.733606912214738,0.041427660930529,0.4098360655737705,3.0,6,3,9,11.224972160321824,0.4495944380069525,0.3429895712630359,0.5086906141367323,1.3012746234067207,14,-0.12494244583103681,0.04563211135941048,-0.6666666666666665,5.23123014152569,4.013869609393846,323,162,0.22049910873440282,0.5191193511008111,0.8933951332560834,0.37427578215527235,10,6.782329983125268,-2,3,-2,6.500579374275782,5.340672074159907,6.506373117033604,863,2268,0.38051146384479717,0.19783384745279423,0.63579604578564,0.3684084046432415,0.5901639344262295,0.17057455719044726,-0.04563211135941048
bbox_improved_absolute_worse,8,v1:building_087,building_087,v1,claude,-1,0,-1,5.476,1.912,3.668,500,700,0.7142857142857143,3.9514962505280713,0.1775210084033613,0.3065268065268065,3.0,0,3,4,5.0,0.5764895330112721,0.3816425120772946,0.3768115942028985,1.334943639291465,12,-7,0,-6,0.3076923076923077,1.5384615384615385,-0.5,468,900,0.52,8.534500082688831,0.0542110358180058,0.3184019370460048,2.0,5,4,9,11.04536101718726,0.5764895330112721,0.3301127214170692,0.2769726247987117,1.183574879227053,25,-0.1233099725853555,0.011875130519198307,-1.0,4.58300383216076,6.045361017187259,-32,200,-0.19428571428571428,0.8051529790660226,0.7536231884057971,-0.05152979066022545,11,7.14142842854285,-2,3,-2,5.0,5.3768115942028984,5.507246376811594,621,1680,0.36964285714285716,0.12900579812344518,0.6934731934731935,0.264190901227999,0.6815980629539953,0.1351851031045538,-0.011875130519198196
bbox_improved_absolute_worse,9,v1:building_054,building_054,v1,openai,0,0,0,5.0,3.21656050955414,4.0,628,792,0.7929292929292929,4.949169858762511,0.1781895937277263,0.2608695652173913,5.333333333333333,0,3,4,5.0,0.6663414634146342,0.2790243902439024,0.3336585365853659,1.2790243902439025,18,-6,0,-4,-0.3502824858757062,3.5847457627118646,0.0,708,1080,0.6555555555555556,9.053307942249416,0.0567073170731707,0.2467625899280575,4.333333333333333,5,3,9,10.723805294763608,0.6653658536585366,0.3560975609756097,0.3180487804878049,1.3395121951219513,22,-0.1214822766545556,-0.0141069752893338,-1.0,4.104138083486905,5.723805294763608,80,288,-0.13737373737373737,0.6126829268292683,0.6907317073170731,0.07804878048780484,10,7.0710678118654755,-2,3,-2,5.0,7.741463414634146,6.004878048780488,1025,3060,0.3349673202614379,0.082679971489665,0.7391304347826086,0.1900552728548868,0.7532374100719426,0.1073753013652218,0.014106975289333912
bbox_improved_absolute_worse,10,v1:building_036,building_036,v1,claude,0,-3,0,4.5,1.0,4.5,900,900,1.0,4.45818449402314,0.1736930860033727,0.3714285714285714,3.333333333333333,0,4,-1,4.123105625617661,0.2337398373983739,1.0630081300813008,0.7439024390243902,2.040650406504065,23,-6,-4,-6,0.0,-0.044933920704845816,0.00881057268722467,1135,1521,0.7462195923734385,8.405484832518203,0.0571799870045484,0.4013781223083548,1.3333333333333333,5,5,4,8.12403840463596,0.0528455284552845,1.3597560975609757,0.9288617886178862,2.341463414634146,19,-0.11651309899882428,0.029949550879783404,-1.9999999999999998,3.9473003384950633,4.0009327790183,235,621,-0.2537804076265615,1.829268292682927,2.3069105691056913,0.47764227642276436,11,7.14142842854285,-2,3,-2,5.0,5.402439024390244,4.0060975609756095,492,1365,0.36043956043956044,0.1977354854251987,0.6285714285714286,0.3441981353038064,0.5986218776916452,0.1464626498786077,-0.02994955087978335
